Reach_ID,Baseline_Point_Left,Baseline_Point_Right,Shift,Year,Bank
1,2918,16227,46.81,1991,Left
1,2918,16227,305.68,1993,Left
1,2918,16227,-279.13,1995,Left
1,2918,16227,-346.8,1996,Left
1,2918,16227,580.42,1997,Left
1,2918,16227,-188.18,1998,Left
1,2918,16227,-141.55,1999,Left
1,2918,16227,-182.0,2000,Left
1,2918,16227,-204.65,2001,Left
1,2918,16227,2991.24,2005,Left
1,2918,16227,2477.77,2010,Left
1,2918,16227,1405.05,2015,Left
1,2918,16227,1881.13,2020,Left
1,2918,16227,189.25,1991,Right
1,2918,16227,-1664.47,1993,Right
1,2918,16227,-2879.17,1995,Right
1,2918,16227,-2514.54,1996,Right
1,2918,16227,-2384.32,1997,Right
1,2918,16227,-1698.11,1998,Right
1,2918,16227,-1321.93,1999,Right
1,2918,16227,-773.94,2000,Right
1,2918,16227,-1111.27,2001,Right
1,2918,16227,-42.79,2005,Right
1,2918,16227,1045.03,2010,Right
1,2918,16227,1101.81,2015,Right
1,2918,16227,1500.56,2020,Right
2,3021,16380,326.74,1991,Left
2,3021,16380,-308.36,1993,Left
2,3021,16380,-11.36,1995,Left
2,3021,16380,-61.11,1996,Left
2,3021,16380,300.61,1997,Left
2,3021,16380,-110.07,1998,Left
2,3021,16380,71.48,1999,Left
2,3021,16380,269.24,2000,Left
2,3021,16380,234.88,2001,Left
2,3021,16380,3195.39,2005,Left
2,3021,16380,2549.72,2010,Left
2,3021,16380,1335.72,2015,Left
2,3021,16380,2124.98,2020,Left
2,3021,16380,118.23,1991,Right
2,3021,16380,-254.44,1993,Right
2,3021,16380,-1614.74,1995,Right
2,3021,16380,-1825.06,1996,Right
2,3021,16380,-1777.1,1997,Right
2,3021,16380,-1599.71,1998,Right
2,3021,16380,-1490.26,1999,Right
2,3021,16380,-1337.03,2000,Right
2,3021,16380,-1656.16,2001,Right
2,3021,16380,-72.45,2005,Right
2,3021,16380,746.3,2010,Right
2,3021,16380,1028.76,2015,Right
2,3021,16380,1501.62,2020,Right
3,3116,16502,135.03,1991,Left
3,3116,16502,-375.44,1993,Left
3,3116,16502,-173.86,1995,Left
3,3116,16502,34.78,1996,Left
3,3116,16502,-5.39,1997,Left
3,3116,16502,-690.88,1998,Left
3,3116,16502,180.68,1999,Left
3,3116,16502,202.9,2000,Left
3,3116,16502,352.66,2001,Left
3,3116,16502,3470.86,2005,Left
3,3116,16502,2636.25,2010,Left
3,3116,16502,1356.35,2015,Left
3,3116,16502,2275.62,2020,Left
3,3116,16502,-591.66,1991,Right
3,3116,16502,-22.83,1993,Right
3,3116,16502,-951.61,1995,Right
3,3116,16502,-1884.15,1996,Right
3,3116,16502,-1852.6,1997,Right
3,3116,16502,-2078.82,1998,Right
3,3116,16502,-2017.64,1999,Right
3,3116,16502,-1773.62,2000,Right
3,3116,16502,-1978.69,2001,Right
3,3116,16502,-178.0,2005,Right
3,3116,16502,399.88,2010,Right
3,3116,16502,561.43,2015,Right
3,3116,16502,836.6,2020,Right
4,3192,16582,245.53,1991,Left
4,3192,16582,219.48,1993,Left
4,3192,16582,-354.92,1995,Left
4,3192,16582,181.39,1996,Left
